,BAL,BOS,NYY,TB,TOR,CWS,CLE,DET,KC,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WAS,CHI,CIN,MIL,PIT,STL,ARI,COL,LAD,SD,SF
CHI,608.086410462058,849.5572329031247,716.9020742821336,1017.4750730678142,435.9586438093494,8.2430217642379,310.2014355499366,238.13835707491847,411.1388597461145,351.695668635355,944.138505434161,1734.755774549677,1846.910410965784,1734.1947859555135,818.4299510132153,582.3054437061252,1192.4786821221594,721.9918510102309,668.0106070962862,599.8381424834104,0.0,257.2222558601181,76.26843362285489,411.8045950348328,265.7411471872403,1453.985064501805,919.3303093902957,1744.2630407503314,1734.3976985526688,1855.983698184764
CIN,423.3467002928831,737.8484661920539,573.8808972002989,788.0447443429736,411.04955865725003,250.37862651172662,222.68559588440036,236.4076137974057,536.0429022892191,606.4660463465475,892.2274677501998,1883.7609901498297,2032.6665185711395,1971.8665454122206,828.7439783351358,359.0770411243157,951.054218615606,577.344692859931,502.0610070509183,403.9258390458219,257.2222558601181,0.0,325.9956878321253,257.0233081667848,308.37784972298414,1580.6474805801504,1094.6808849303145,1896.314851100247,1872.871762049236,2042.1999762607293
MIL,645.1741930837785,859.0996289672951,738.6418468232746,1093.4034708833806,434.32313818841016,84.49053133000473,339.08353078210774,255.11813602069307,436.7817295770288,296.7937813177144,1002.3809713253826,1732.096598615166,1828.9531269018178,1689.3320278591582,865.0667091927147,658.1656692648077,1267.4087987813366,744.1173503967051,697.8898715158921,640.576823067444,76.26843362285489,325.9956878321253,0.0,448.3871579147639,325.5296470373732,1460.7738986224083,911.247412949219,1740.4086434286387,1735.6554337982654,1837.7988200271527
PIT,196.98404796613352,480.85358989297,320.5818193210274,886.8463966265012,222.7438505623406,409.08275870989945,113.81245195575157,205.04965596064056,775.9468722567016,743.3757199891373,1136.811331862582,2124.125690160833,2254.0823034421887,2137.490840461336,1084.914395243558,514.6851211669743,1010.9908390212751,324.60751102502945,258.79759939264466,193.2593365437672,411.8045950348328,257.0233081667848,448.3871579147639,0.0,558.2119186622729,1827.9165031496802,1320.3842902382144,2135.466967362053,2117.0773781829284,2263.3157014387266
STL,731.7243856936851,1035.8710463516243,878.50475875179,865.4446614574848,660.7732319159022,259.3798471039286,492.39505871275486,455.21696756493407,233.17428406775633,466.8073407711449,678.5347891386459,1576.108500291887,1734.5877373596,1724.3874759349578,560.0130777580366,456.6321600526557,1058.9365460923666,882.326951589711,809.7014852621852,711.845335456236,265.7411471872403,308.37784972298414,325.5296470373732,558.2119186622729,0.0,1272.3776085964703,797.4934215778821,1589.0087521585463,1564.5395090400639,1744.3039148944729
ARI,2003.8864247323281,2297.6815149530826,2148.3793555539273,1789.3229490277947,1889.6067832099511,1452.8629335226728,1749.230917999896,1690.2493443363787,1053.288316104744,1279.065745469057,1016.3892129235717,336.1739395642602,642.6915891642637,1113.4922279833436,869.712592303626,1585.9687130795305,1979.488388126915,2152.4990165373597,2081.9182787515524,1983.065340308472,1453.985064501805,1580.6474805801504,1460.7738986224083,1827.9165031496802,1272.3776085964703,0.0,586.090824267739,357.93362600710105,299.61637508624574,652.8681126148322
COL,1509.950649895562,1767.936727991436,1634.4963052902497,1521.7864031396493,1345.5704924103866,919.9575134945427,1227.5500985921676,1156.9184872555447,564.455541997627,698.7303128098417,879.5956726299868,823.2711013136429,938.1011481699892,1019.9539466612023,654.00129236319,1204.3459940503183,1724.9567184684245,1639.3558707588147,1579.1686208922395,1494.8852556142451,919.3303093902957,1094.6808849303145,911.247412949219,1320.3842902382144,797.4934215778821,586.090824267739,0.0,830.3104407533782,834.0728275150839,947.6907439705197
LAD,2318.659441813148,2593.7863163424495,2453.804299420094,2146.5287594128827,2174.504107332593,1744.2479717955507,2048.814136743994,1982.4013886566843,1361.0937004727625,1522.1141971963336,1374.2543997818605,27.857519579596428,337.0454885291207,956.7593784850716,1224.040697575706,1930.1835871594908,2337.2882337291244,2458.343398946742,2392.8974375752373,2300.2372712592646,1744.2630407503314,1896.314851100247,1740.4086434286387,2135.466967362053,1589.0087521585463,357.93362600710105,830.3104407533782,0.0,113.09096187193684,345.445399536584
SD,2296.1817368179018,2582.1804645455095,2436.948683798411,2082.2147394126528,2168.104387129384,1733.8315890527815,2034.7122763511165,1972.06738504308,1341.1371240174851,1532.2615208130665,1304.1332125411625,86.26663670452193,449.6493629679329,1062.2485256542845,1167.461122639634,1885.5768735031197,2269.6897698046996,2441.2535193537515,2372.7677340655473,2276.2586525993866,1734.3976985526688,1872.871762049236,1735.6554337982654,2117.0773781829284,1564.5395090400639,299.61637508624574,834.0728275150839,113.09096187193684,0.0,457.86324458655616
SF,2455.162000224664,2696.0414083659157,2572.7761653697335,2394.093620216506,2267.771886227046,1857.5103923510442,2166.1421617721903,2090.340594444526,1511.1349454820115,1582.6529680733652,1644.2896836717605,373.1412254383137,10.492355936117143,677.344514176216,1467.269714367504,2131.170031026868,2591.3052171868912,2577.9187598281387,2521.868417573472,2441.142926341007,1855.983698184764,2042.1999762607293,1837.7988200271527,2263.3157014387266,1744.3039148944729,652.8681126148322,947.6907439705197,345.445399536584,457.86324458655616,0.0
